year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2022,9,366.28861018286585,693.8528733448678,3272,976417,452.8558215033872,641.3176923526796,2615,658170,902.6255130151231,986.6150041187676,462,98019,3068.2445759368834,6825.470289366184,195,220228
2022,10,368.17318384595535,706.538094194996,3209,961732,457.01904296875,650.7907592700869,2560,645862,917.0390049510926,1022.7767117112942,455,96221,2987.5650972473163,6855.623059000321,194,219649
2022,11,360.2255867465798,708.6657389456295,3172,957331,445.3654784761663,649.5030888519786,2522,641812,903.3548784241306,1023.8221266346104,456,95942,2968.965883728345,6859.913850793062,194,219577
2022,12,353.95376273998727,683.9974831364863,3309,978248,440.1368524033513,620.3553377868352,2637,661957,874.7486354495834,1016.2455373349368,472,96966,2717.5,6868.848377252108,200,219325
2023,1,348.96074754066416,690.2744016369473,3249,965619,429.7826540472266,612.0330497198291,2597,654278,846.9991546914622,1041.7794879789608,455,96221,2797.5469607565256,7136.031667865484,197,215120
2023,2,350.4714885573827,701.225023028513,3141,950412,433.2142055139892,618.4388742747816,2504,645080,838.067964677527,1060.045343601378,443,90352,2802.635774258689,7144.047141326047,194,214980
2023,3,351.1590927617385,687.7590835434695,3189,968968,434.6130771492992,618.459595358237,2525,648419,849.9925683709871,982.4598586657042,464,100975,2665.5,6852.345768897136,200,219574
2023,4,357.6167114831944,745.0081122380827,2852,895280,443.9147301443591,644.9422150283202,2256,582836,908.7817833252232,1031.2759782345624,413,93772,2996.506315506584,6907.121728910532,183,218672
2023,5,354.8141544879415,675.0789926190421,3362,1001813,432.29951324888833,632.1128043898475,2670,676436,852.640996886753,942.9971059414275,497,106086,2817.3570019723866,6866.095561270893,195,219291
2023,6,354.7211592970522,679.3962280903625,3360,1000851,432.2323846362914,635.362681938455,2671,675727,859.7898173655749,944.1966780669516,495,105864,2894.5690296524604,6868.50695350524,194,219260
2023,7,353.36310989139577,678.9211863894488,3365,1001295,429.8603298669868,633.328601349763,2674,676732,869.2117585848075,955.4818030800344,496,105900,2865.7462195923736,6905.840707743456,195,218663
2023,8,352.6478611184457,678.1839848327598,3369,1001643,430.0518822604594,632.662354937696,2675,677347,859.2603345107339,948.6380587269124,498,106071,2751.4577259475222,6926.213107999468,196,218225
2023,9,352.9106560124524,677.8637296296349,3371,1002010,428.8442534469356,631.444941452336,2681,678119,859.0990467895679,939.3411215278052,498,106173,2849.934895833334,6958.276745062685,192,217718
2023,10,353.7249302984769,683.8743121325404,3268,982415,426.6096971465809,626.8141856796123,2602,663333,853.5284255448864,960.4855007671752,486,102737,2943.2098765432097,7040.537865366221,180,216345
2023,11,353.630519867029,675.2290067275396,3376,1002968,424.2140183949712,626.9546873640091,2706,684274,863.9199999999998,951.1756526002952,500,104029,2960.5536332179927,7141.341956120676,170,214665
